month,res_county,cases
June,LASSEN,78
June,LOS ANGELES,8025
June,MADERA,186
June,MARIN,141
June,MENDOCINO,163
June,MERCED,229
June,MONTEREY,167
June,NAPA,144
June,NEVADA,151
June,ORANGE,1678
June,PLACER,661
June,RIVERSIDE,1876
June,SACRAMENTO,2467
June,SAN BENITO,65
June,SAN BERNARDINO,1773
June,SAN DIEGO,2536
June,SAN FRANCISCO,509
June,SAN JOAQUIN,1067
June,SAN LUIS OBISPO,145
June,SAN MATEO,502
June,SANTA BARBARA,220
June,SANTA CLARA,954
June,SANTA CRUZ,114
June,SHASTA,354
June,SISKIYOU,45
June,SMALL COUNTY,246
June,SOLANO,663
June,SONOMA,960
June,STANISLAUS,927
June,SUTTER,161
June,TEHAMA,66
June,TULARE,337
June,TUOLUMNE,63
June,VENTURA,608
June,YOLO,219
June,YUBA,152
March,ALAMEDA,2983
March,AMADOR,105
March,BUTTE,395
March,CALAVERAS,92
March,COLUSA,21
March,CONTRA COSTA,2635
March,DEL NORTE,190
March,EL DORADO,356
March,FRESNO,3872
March,GLENN,129
March,HUMBOLDT,280
March,IMPERIAL,542
March,KERN,2340
March,KINGS,565
March,LAKE,164
March,LASSEN,27
March,LOS ANGELES,16837
March,MADERA,544
March,MARIN,473
March,MENDOCINO,112
March,MERCED,1398
March,MONTEREY,675
March,NAPA,380
March,NEVADA,351
March,ORANGE,4537
March,PLACER,1167
March,RIVERSIDE,3891
March,SACRAMENTO,4676
March,SAN BENITO,135
March,SAN BERNARDINO,3329
March,SAN DIEGO,6917
March,SAN FRANCISCO,1218
March,SAN JOAQUIN,3357
March,SAN LUIS OBISPO,877
March,SAN MATEO,1272
March,SANTA BARBARA,1087
March,SANTA CLARA,3704
March,SANTA CRUZ,433
March,SHASTA,518
March,SISKIYOU,93
March,SMALL COUNTY,359
March,SOLANO,1086
March,SONOMA,1054
March,STANISLAUS,2700
March,SUTTER,276
March,TEHAMA,222
March,TULARE,1491
March,TUOLUMNE,112
March,VENTURA,1965
March,YOLO,467
March,YUBA,251
May,ALAMEDA,1630
May,AMADOR,41
May,BUTTE,454
May,CALAVERAS,76
May,COLUSA,47
May,CONTRA COSTA,1628
May,DEL NORTE,89
May,EL DORADO,314
May,FRESNO,1259
May,GLENN,68
May,HUMBOLDT,482
May,IMPERIAL,400
May,KERN,1139
May,KINGS,174
May,LAKE,70
May,LASSEN,58
May,LOS ANGELES,6177
May,MADERA,151
May,MARIN,163
May,MENDOCINO,184
May,MERCED,418
May,MONTEREY,260
May,NAPA,110
May,NEVADA,144
May,ORANGE,1450
May,PLACER,703
